Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S40578545,Golden-crowned Kinglet,Regulus satrapa,21932,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Eastern Bluebird,Sialia sialis,24482,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Hermit Thrush,Catharus guttatus,24608,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,American Robin,Turdus migratorius,24903,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Gray Catbird,Dumetella carolinensis,26358,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Northern Mockingbird,Mimus polyglottos,26464,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,European Starling,Sturnus vulgaris,26621,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Cedar Waxwing,Bombycilla cedrorum,27738,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Snow Bunting,Plectrophenax nivalis,27766.4,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Yellow-rumped Warbler,Setophaga coronata,27938,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,American Tree Sparrow,Spizelloides arborea,29553,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,American Tree Sparrow/Spizella sp.,Spizelloides/Spizella sp.,29735.2,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Dark-eyed Junco,Junco hyemalis,29958,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,White-throated Sparrow,Zonotrichia albicollis,29984.17,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Savannah Sparrow,Passerculus sandwichensis,29984.32,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Song Sparrow,Melospiza melodia,29984.39,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Swamp Sparrow,Melospiza georgiana,29984.5,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Eastern Towhee,Pipilo erythrophthalmus,29984.76,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,sparrow sp.,Passerellidae sp. (sparrow sp.),29986,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Northern Cardinal,Cardinalis cardinalis,30233,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Red-winged Blackbird,Agelaius phoeniceus,30339,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
